Realm Name,Export Time,PMktPrice Date,Reserved,Item ID,Item Name,AH MarketPrice Coppers,AH Quantity,AH MarketPrice,AH MinimumPrice,14-day Median Market Price,Median Market Price StdDev,14-day Todays PMktPrice,PMktPrice StdDev,Daily Price Change,Avg Daily Posted,Avg Estimated Daily Sold,Estimated Demand
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,785,Mageroyal,1000,657,0.1,0.0498,0.34,0.15,0.41,0.15,0.0166,1271.29,511.71,0.4025
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,789,Stout Battlehammer,1250000,2,125,125,3,4.03,4.83,4.08,0.0307,1.43,0.36,0.2517
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,790,Forester's Axe,499550,5,49.955,49.955,22,16.23,21.62,15.61,0.039,4.93,0.43,0.0872
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,791,Gnarled Ash Staff,0,0,0,0,45,77.82,26.25,59.48,-0.1908,0.43,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,792,Knitted Sandals,0,0,0,0,1251,0,1251,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,805,Small Red Pouch,5900,1,0.59,0.59,0.8,0.85,0.87,0.87,-0.0072,4.5,0.5,0.1111
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,809,Bloodrazor,9499999,3,949.9999,949.9999,1697,688.35,1353.15,694.07,-0.0207,3.5,0.07,0.02
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,810,Hammer of the Northern Wind,3990000,1,399,399,500,241.59,553.3,232.17,-0.0078,3.93,0.07,0.0178
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,811,Axe of the Deep Woods,1500000,3,150,150,300,287.12,455.06,275.85,0.0172,5.29,0.36,0.0681
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,812,Glowing Brightwood Staff,9999900,2,999.99,999.99,1112.8,679.91,1390.09,686.4,0.0353,5.21,0.14,0.0269
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,814,Flask of Oil,0,0,0,0,149,71.51,37.5,15.79,-0.1579,4.29,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,818,Tigerseye,35000,12,3.5,3.5,0.85,0.98,1.62,0.93,0.0503,153.86,69.71,0.4531
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,821,Riverpaw Leather Vest,0,0,0,0,8,4.24,4.5,1.83,-0.1481,0.36,0.14,0.3889
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,828,Small Blue Pouch,20858,1,2.0858,2.0858,1.19,0.81,0.96,0.83,-0.0142,7.21,0.5,0.0693
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,833,Lifestone,0,0,0,0,785.6,268.28,828.32,249.98,0.0252,2.21,0.36,0.1629
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,838,Heavy Weave Pants,0,0,0,0,0.4,0,0.4,0,0,0.14,0.07,0.5
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,856,Blue Leather Bag,0,0,0,0,5.55,3.51,3.94,3.66,-0.0168,0.86,0.07,0.0814
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,857,Large Red Sack,0,0,0,0,18,3.57,21.28,2.73,0.0297,1.43,0.07,0.049
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,858,Lesser Healing Potion,1000,69,0.1,0.05,0.06,0.02,0.03,0.02,-0.0521,108.14,11.57,0.107
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,862,Runed Ring,1590000,1,159,159,159,49.8,113.55,42.58,-0.0401,1,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,863,Gloom Reaper,0,0,0,0,180,95.96,76.84,83.6,-0.0521,1.79,0.21,0.1173
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,864,Knightly Longsword,400000,2,40,40,80,43.07,26.34,32.64,-0.083,1.79,0.07,0.0391
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,865,Leaden Mace,0,0,0,0,25.22,5463.44,1316.99,4831.39,-0.0751,0.93,0.21,0.2258
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,866,Monk's Staff,0,0,0,0,50,33.36,35.85,29.94,-0.055,3.79,0.29,0.0765
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,867,Gloves of Holy Might,0,0,0,0,1229.4,63.01,1116.28,23.48,-0.0129,0.79,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,868,Ardent Custodian,9230000,2,923,923,928,118.52,843.72,114.76,-0.0081,2.93,0.14,0.0478
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,869,Dazzling Longsword,20726200,1,2072.62,2072.62,800,650.64,285.49,553.04,-0.0964,5,0.14,0.028
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,870,Fiery War Axe,17957200,1,1795.72,1795.72,1839.87,424.64,1565.38,415.68,-0.0131,1.5,0.07,0.0467
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,871,Flurry Axe,9269500,1,926.95,926.95,926.95,402.42,1090.57,254.27,0.0715,2.43,0.21,0.0864
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,873,Staff of Jordan,33844275,2,3384.4275,3384.4275,3367.46,464.84,3556.11,414.2,0.0137,3,0.29,0.0967
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,890,Twisted Chanter's Staff,3499999,1,349.9999,349.9999,100,63.67,0.75,42.29,-0.1662,1,0.21,0.21
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,922,Dacian Falx,0,0,0,0,300,146.39,160.51,100.95,-0.0876,0.86,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,929,Healing Potion,1868,30,0.1868,0.0666,0.15,0.12,0.17,0.12,0.0264,126.93,26.07,0.2054
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,933,Large Rucksack,0,0,0,0,62.3,35.2,15,22.57,-0.1476,0.57,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,934,Stalvan's Reaper,0,0,0,0,62.07,45.4,18.75,4.18,-0.1003,0.29,0.14,0.4828
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,935,Night Watch Shortsword,1000000,1,100,100,100,255.94,413.34,221.97,17.9702,0.57,0.07,0.1228
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,936,Midnight Mace,0,0,0,0,3000,1443.99,3641.2,1502.37,0.0225,1,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,940,Robes of Insight,46641849,4,4664.1849,4664.1849,2399.34,1464.46,4039.81,1259.82,0.0502,5.21,0.14,0.0269
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,942,Freezing Band,14990000,3,1499,1499,999,1126.6,1954.3,1009.06,0.0403,3.21,0.29,0.0903
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,943,Warden Staff,10324900,1,1032.49,1032.49,399.75,402.65,691.04,379,0.0349,3.57,0.43,0.1204
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,944,Elemental Mage Staff,15000000,1,1500,1500,2000,303.67,1614.85,246.54,-0.0219,3.29,0.07,0.0213
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,954,Scroll of Strength,10000,11,1,1,1,0.41,1.06,0.03,0.0537,2.43,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,955,Scroll of Intellect,197498,45,19.7498,19.7498,10.87,29.2,39.48,25.77,0.1578,32,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,961,Healing Herb,15000,3,1.5,1.5,0.92,0.65,1.82,0.28,-0.9999,1.07,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1015,Lean Wolf Flank,2099,20,0.2099,0.2098,1.06,0.66,0.16,0.35,-0.1311,115.21,18.57,0.1612
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1017,Seasoned Wolf Kabob,0,0,0,0,20,15.51,26.67,1.67,0.1924,14.86,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1080,Tough Condor Meat,3700,8,0.37,0.37,0.65,0.27,0.46,0.26,-0.0303,15.64,1.43,0.0914
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1121,Feet of the Lynx,0,0,0,0,1754.68,1205.39,2342.71,698.81,-0.4121,0.36,0.14,0.3889
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1168,Skullflame Shield,174999999,3,17499.9999,17499.9999,28221.8,11749.71,34503.34,11586.3,0.0316,5.21,0.07,0.0134
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1169,Blackskull Shield,2199999,3,219.9999,219.9999,600,527.3,187.31,363.04,-0.1197,5,0.14,0.028
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1179,Ice Cold Milk,1565,6,0.1565,0.1565,0.16,33.59,0.12,23.23,-0.1977,9.93,1.36,0.137
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1180,Scroll of Stamina,0,0,0,0,79,63.85,105.33,6.86,0.1889,3.36,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1181,Scroll of Spirit,0,0,0,0,0.8,0,0.8,0,0,0.86,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1203,Aegis of Stormwind,4999995,5,499.9995,499.9995,829.39,349.29,248.4,203.35,-0.0927,9.29,0.64,0.0689
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1204,The Green Tower,9999999,2,999.9999,999.9999,1090,337.69,1145.37,298.99,0.0265,4.71,0.14,0.0297
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1205,Melon Juice,98,1,0.0098,0.0098,0.24,1.64,0.16,1.56,-0.1126,32.36,1.21,0.0374
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1206,Moss Agate,249994,45,24.9994,24,24.24,5.78,16.8,4.39,-0.0401,313.07,116.5,0.3721
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1207,Murphstar,350000,2,35,35,35,32.34,46.44,33.13,0.0279,4.36,0.29,0.0665
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1210,Shadowgem,29796,200,2.9797,2.495,4.05,1.56,5.47,1.17,0.064,429.79,172.93,0.4024
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1251,Linen Bandage,5595,14,0.5595,0.5595,0.45,0.07,0.47,0.07,-0.003,100.43,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1263,Brain Hacker,9989999,4,998.9999,998.9999,897,444.54,519.13,403.85,-0.0375,5.36,0.36,0.0672
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1265,Scorpion Sting,19999999,1,1999.9999,1999.9999,912,465.12,1067.54,432.22,0.0477,3.14,0.14,0.0446
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1288,Large Venom Sac,19800,23,1.98,1.98,0.99,1.02,2.39,0.78,0.0931,11.14,2.29,0.2056
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1315,Lei of Lilies,6634959,3,663.4959,663.4959,599,247.17,233.15,170.84,-0.0803,4.29,0.14,0.0326
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1318,Night Reaver,18880700,1,1888.07,1888.07,2138.9,642,1676.16,608.24,-0.0167,1.29,0.07,0.0543
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1357,Captain Sanders' Treasure Map,178000,2,17.8,17.8,13.92,6.96,19.9,4.69,0.1046,3,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1391,Riverpaw Mystic Staff,0,0,0,0,800,0,800,0,0,0.93,0.07,0.0753
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1413,Feeble Sword,0,0,0,0,9,0,9,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1420,Worn Leather Bracers,0,0,0,0,21,0,21,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1425,Worn Leather Vest,0,0,0,0,10,0,10,0,0,0.21,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1443,Jeweled Amulet of Cainwyn,6442300,1,644.23,644.23,691.72,83.56,543.01,40.62,-0.0252,1.64,0.14,0.0854
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1447,Ring of Saviors,2888800,2,288.88,288.88,279.35,322.69,125.44,241.85,-0.0985,5.57,0.29,0.0521
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1454,Axe of the Enforcer,0,0,0,0,14.99,0,14.99,0,0,0.14,0.07,0.5
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1465,Tigerbane,0,0,0,0,30.8,59.18,7.5,37.93,-0.1688,2.14,0.14,0.0654
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1468,Murloc Fin,833,34,0.0833,0.0832,0.09,0.16,0.19,0.15,0.0255,62.36,12.43,0.1993
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1470,Murloc Skin Bag,237915,1,23.7915,23.7915,19.4,8.44,25.64,5.93,0.0993,0.79,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1475,Small Venom Sac,0,0,0,0,8,6.26,0.25,2.37,-0.2016,1.43,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1477,Scroll of Agility II,0,0,0,0,500.49,539.56,1333.33,152.21,0.211,2.36,0.07,0.0297
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1481,Grimclaw,0,0,0,0,1316.33,895.43,1755.11,400.45,-0.4708,0.5,0.07,0.14
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1486,Tree Bark Jacket,0,0,0,0,578.51,213.81,791.53,174.73,0.1076,0.64,0.14,0.2188
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1488,Avenger's Armor,0,0,0,0,15,0,20,0,0.0571,0.07,0.07,1
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1495,Calico Shoes,0,0,0,0,100,0,100,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1501,Calico Tunic,0,0,0,0,9,0,9,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1504,Warped Leather Bracers,0,0,0,0,18,10.61,24,2.23,0.3917,0.29,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1506,Warped Leather Gloves,0,0,0,0,14,0,14,0,0,0.14,0.07,0.5
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1510,Heavy Hammer,0,0,0,0,12,0,12,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1511,Commoner's Sword,0,0,0,0,18,0,18,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1512,Crude Battle Axe,0,0,0,0,12,0,12,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1513,Old Greatsword,0,0,0,0,18,0,18,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1514,Rusty Warhammer,0,0,0,0,18,0,18,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1515,Rough Wooden Staff,0,0,0,0,3,0,4,0,0.2857,0.07,0.07,1
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1520,Troll Sweat,0,0,0,0,0.16,0,0.16,0,0,5.57,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1529,Jade,91500,52,9.15,6,4,2.23,5.12,2.2,0.0135,258.5,84.93,0.3285
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1607,Soulkeeper,149997000,1,14999.7,14999.7,1500,7232.42,11338.62,4843.98,0.1603,0.93,0.21,0.2258
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1608,Skullcrusher Mace,259999,3,25.9999,25.9999,100,88.91,164.74,85.86,0.0449,5.71,0.36,0.063
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1613,Spiritchaser Staff,120000,1,12,12,39,57.54,55.13,60.26,0.0382,1.5,0.57,0.38
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1625,Exquisite Flamberge,250000,3,25,25,56.5,55.41,11.25,39.72,-0.126,3.57,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1639,Grinning Axe,493812,3,49.3812,49.3812,40,53,15,47.93,-0.1097,2.36,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1640,Monstrous War Axe,250000,1,25,25,29,28.1,47.61,25.72,0.0196,1.5,0.14,0.0933
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1645,Moonberry Juice,1288,17,0.1289,0.1289,0.13,0.04,0.1,0.04,-0.0126,46.79,1.29,0.0276
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1678,Black Ogre Kickers,0,0,0,0,54,55.13,6.71,36.72,-0.3988,0.36,0.07,0.1944
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1685,Troll-Hide Bag,0,0,0,0,52.94,43.97,115.74,18.55,0.1976,0.64,0.14,0.2188
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1705,Lesser Moonstone,2099,257,0.2099,0.2099,0.17,0.37,0.49,0.34,0.0974,506.29,110.71,0.2187
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1707,Stormwind Brie,0,0,0,0,1.52,5.21,2.65,5.52,-0.003,2.07,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1708,Sweet Nectar,0,0,0,0,15.04,12.06,24,11.08,0.086,7,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1710,Greater Healing Potion,5000,44,0.5,0.4899,0.24,0.3,0.15,0.29,-0.0677,66.57,26.5,0.3981
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1711,Scroll of Stamina II,0,0,0,0,2,0,2,0,0,0.43,0.29,0.6744
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1713,Ankh of Life,0,0,0,0,95.07,126.91,1.2,83.34,-0.1862,0.71,0.14,0.1972
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1714,Necklace of Calisea,0,0,0,0,150,46.19,52.5,23.42,-0.1468,0.29,0.07,0.2414
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1715,Polished Jazeraint Armor,2990000,2,299,299,299,755.53,208.32,665.33,-0.0925,4.21,0.07,0.0166
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1716,Robe of the Magi,19970296,2,1997.0296,1997.0296,2998.03,2895.6,4500.56,2903.43,0.0356,6.5,0.07,0.0108
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1717,Double Link Tunic,0,0,0,0,1999,288.1,1984.64,251.29,0.0123,0.57,0.07,0.1228
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1718,Basilisk Hide Pants,400000,1,40,40,200,344.44,96.28,297.49,-0.0984,1.21,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1720,Tanglewood Staff,2332200,1,233.22,233.22,130,1951.55,56.18,1715.38,-0.206,1.5,0.07,0.0467
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1721,Viking Warhammer,0,0,0,0,100.39,97.02,41.25,92.56,-0.0963,0.93,0.07,0.0753
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1722,Thornstone Sledgehammer,0,0,0,0,107.15,5.12,108.84,0.87,0.012,0.29,0.14,0.4828
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1725,Large Knapsack,299999,1,29.9999,29.9999,11.98,5.97,18.89,5.11,0.0519,7.14,1.36,0.1905
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1726,Poison-Tipped Bone Spear,8000000,1,800,800,66,80.56,65.98,72.6,-0.0466,4.36,0.14,0.0321
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1727,Sword of Decay,7581200,1,758.12,758.12,758.12,448.13,1058.03,241.66,-0.9999,0.64,0.07,0.1094
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1728,Teebu's Blazing Longsword,1033123700,1,103312.37,103312.37,50000,24984.14,62012.47,23911.74,0.006,4.21,0.5,0.1188
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1734,Worn Mail Gloves,0,0,0,0,8,0,8,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1735,Worn Mail Pants,0,0,0,0,5,0,5,0,0,0.29,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1738,Laced Mail Belt,0,0,0,0,0.53,0,0.53,0,0,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1746,Linked Chain Belt,0,0,0,0,0.03,0,0.04,0,25.74,0.07,0.07,1
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1747,Linked Chain Boots,600,1,0.06,0.06,1,0,1.33,0,0.8571,0.07,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1749,Linked Chain Cloak,800,1,0.08,0.08,0.08,0,0.11,0,10.7143,0.14,0,0
EU - Aegwynn / Alliance,02/08/2014 16:46:29,02/08/2014,N/A,1750,Linked Chain Gloves,600,1,0.06,0.06,1,0,1.33,0,0.8572,0.07,0,0
